"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.16",100.918045551315,-0.0140953326108468,0.149838666890286,-0.0940700615093403,0.92505350234994,0.999981412774278
"ENSG00000000005.6",1.25345286700957,0.133845498956265,0.684868834278876,0.195432310914243,0.845054523804986,0.999981412774278
"ENSG00000000419.14",259.631378890149,0.0246426005389758,0.081206224992126,0.303457038439666,0.761541583123744,0.999981412774278
"ENSG00000000457.14",109.259321159328,0.107333707487536,0.114493428354609,0.937466097661974,0.348518854851099,0.999981412774278
"ENSG00000000460.17",82.967616597584,0.030766751513986,0.143764968447859,0.214007291526965,0.830541371090041,0.999981412774278
"ENSG00000000938.13",27.2432716258494,0.169649267404286,0.25852539325445,0.656218970479667,0.511683244603073,0.999981412774278
"ENSG00000000971.17",87.3798979034368,0.247009928160477,0.314407745806803,0.785635632247622,0.432080983008654,0.999981412774278
"ENSG00000001036.14",61.0298223797698,0.00997482969473954,0.100290905370182,0.0994589654756987,0.920773867110114,0.999981412774278
"ENSG00000001084.13",324.670065531049,-0.0761976445542202,0.10156439610639,-0.750239724503478,0.453110337690825,0.999981412774278
"ENSG00000001167.15",698.971264024935,-0.0944177960820972,0.0770344901019673,-1.22565614385349,0.220328100451441,0.999981412774278
"ENSG00000001460.18",167.231369609863,0.0319824908453043,0.0919702389656967,0.347748262970516,0.728029247469041,0.999981412774278
"ENSG00000001461.17",1807.71787555867,-0.171570900990356,0.12281016799671,-1.39704149736976,0.162401092644003,0.999981412774278
"ENSG00000001497.18",594.784542199718,0.0248095757386804,0.112691094276953,0.220155602338083,0.825749972507592,0.999981412774278
"ENSG00000001561.7",530.270573974102,-0.243324137104059,0.117468432586397,-2.07140022001311,0.0383214103608689,0.999981412774278
"ENSG00000001617.12",54.6935568512421,0.191014963433965,0.276441876383463,0.690976945797464,0.489580029097507,0.999981412774278
"ENSG00000001626.18",41.4212192790955,-0.242390503607858,0.235092053067781,-1.03104507551335,0.302519682397466,0.999981412774278
"ENSG00000001629.10",1311.06522635304,-0.0754076663777358,0.0872482213116367,-0.864288867372914,0.387429224212504,0.999981412774278
"ENSG00000001630.18",37.3115793060701,-0.168260856414545,0.14771264841271,-1.1391093330371,0.254657555256409,0.999981412774278
"ENSG00000001631.17",470.328976962275,0.0726072458444522,0.109224917558336,0.664749834264452,0.506210513739347,0.999981412774278
"ENSG00000002016.18",158.939937511942,0.106549994468327,0.143275539732969,0.743671911248148,0.457074986566197,0.999981412774278
