"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.16",100.918045551315,0.0440238625731635,0.122010259965974,0.360820988213948,0.718233271952454,0.999966127004508
"ENSG00000000005.6",1.25345286700957,-0.255309614053392,0.616421040766228,-0.41418056355772,0.678741875078259,0.999966127004508
"ENSG00000000419.14",259.631378890149,0.0596769246907161,0.0647997352609209,0.920943958342153,0.357079686667845,0.999966127004508
"ENSG00000000457.14",109.259321159328,-0.0839920207556423,0.0913828327949013,-0.919122533048993,0.35803148449065,0.999966127004508
"ENSG00000000460.17",82.967616597584,0.0348376579370789,0.113765363610256,0.306223764698963,0.759434279370603,0.999966127004508
"ENSG00000000938.13",27.2432716258494,-0.248955981785512,0.211866571606891,-1.1750602272804,0.23997062123593,0.999966127004508
"ENSG00000000971.17",87.3798979034368,-0.371481598139556,0.254188705748413,-1.46144022035045,0.143894669734011,0.999966127004508
"ENSG00000001036.14",61.0298223797698,0.0280453342827111,0.080087718627533,0.350182709200928,0.72620158230583,0.999966127004508
"ENSG00000001084.13",324.670065531049,-0.0586132023984068,0.082299190231767,-0.712196587030117,0.476343050109502,0.999966127004508
"ENSG00000001167.15",698.971264024935,0.071858317810193,0.0618850562702281,1.16115783261819,0.245577719446712,0.999966127004508
"ENSG00000001460.18",167.231369609863,0.0143031987305443,0.0732920621387314,0.195153449270814,0.845272820417718,0.999966127004508
"ENSG00000001461.17",1807.71787555867,-0.00564958234272673,0.0987010090353761,-0.0572393575095248,0.954354526778509,0.999966127004508
"ENSG00000001497.18",594.784542199718,0.0336846509266832,0.0903496478816243,0.372825480967194,0.709278336890072,0.999966127004508
"ENSG00000001561.7",530.270573974102,0.041964008765316,0.0946959130936591,0.443144877053052,0.657660946887859,0.999966127004508
"ENSG00000001617.12",54.6935568512421,-0.217004803081269,0.223382955840159,-0.971447451149973,0.331325508933118,0.999966127004508
"ENSG00000001626.18",41.4212192790955,0.104834930707787,0.192687808144736,0.544066237076302,0.586395893122225,0.999966127004508
"ENSG00000001629.10",1311.06522635304,-0.00442166201316945,0.0702687402868815,-0.0629250217823377,0.94982620982295,0.999966127004508
"ENSG00000001630.18",37.3115793060701,0.0606719921095273,0.119366592161247,0.508282853778454,0.611254992871217,0.999966127004508
