"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.16",100.918045551315,0.0299285299623167,0.0922486053165394,0.324433414029629,0.745609925889344,0.934847299278865
"ENSG00000000005.6",1.25345286700957,-0.121464115097128,0.324352976464519,-0.374481271672298,0.708046287703573,NA
"ENSG00000000419.14",259.631378890149,0.0843195252296918,0.0518342612474185,1.6267141307795,0.103797826170382,0.633204249052574
"ENSG00000000457.14",109.259321159328,0.023341686731894,0.0730147902908948,0.319684363111905,0.749207614665022,0.936396547286517
"ENSG00000000460.17",82.967616597584,0.0656044094510648,0.0929840058491061,0.705545097266806,0.480471077440162,0.843763932914786
"ENSG00000000938.13",27.2432716258494,-0.0793067143812255,0.157029001821548,-0.505045013731614,0.613527220323918,0.892478488021144
"ENSG00000000971.17",87.3798979034368,-0.124471669979079,0.196277546516016,-0.634161533952748,0.525975408183021,0.86172315429662
"ENSG00000001036.14",61.0298223797698,0.0380201639774507,0.0637794367362629,0.596119469268277,0.551095418681688,0.869525038947653
"ENSG00000001084.13",324.670065531049,-0.134810846952627,0.0631236529009344,-2.13566295290607,0.0327068961497796,0.54569288035051
"ENSG00000001167.15",698.971264024935,-0.0225594782719041,0.048648702296386,-0.463722097548736,0.642846863163878,0.903300911785049
"ENSG00000001460.18",167.231369609863,0.0462856895758485,0.0588339261232537,0.786717675085675,0.431447154888701,0.822740577694421
"ENSG00000001461.17",1807.71787555867,-0.177220483333083,0.0775318417998178,-2.28577677531065,0.0222673210475079,0.524181138955031
"ENSG00000001497.18",594.784542199718,0.0584942266653635,0.0714327772836282,0.818870956579339,0.412860041921677,0.81510718770383
"ENSG00000001561.7",530.270573974102,-0.201360128338743,0.0737349158329484,-2.73086537177228,0.00631682700878381,0.418511440422135
"ENSG00000001617.12",54.6935568512421,-0.0259898396473038,0.172693985810491,-0.150496495435713,0.880372915487017,0.97191345771394
"ENSG00000001626.18",41.4212192790955,-0.137555572900071,0.142856745759542,-0.962891686834351,0.335601881877989,0.780425377680867
"ENSG00000001629.10",1311.06522635304,-0.0798293283909053,0.0548623256025486,-1.45508465990361,0.145645825419826,0.662880615495317
"ENSG00000001630.18",37.3115793060701,-0.107588864305018,0.0921008456512123,-1.16816369648178,0.242740741105971,0.727203785689435
"ENSG00000001631.17",470.328976962275,0.0970361070104231,0.0692695392833375,1.40084816521603,0.161259481978034,0.677478198428532
"ENSG00000002016.18",158.939937511942,0.179332465700837,0.0906981477853504,1.97724507147877,0.0480139351976147,0.577271249127408
"ENSG00000002079.15",4.4365992961567,0.285271421379108,0.223250976410229,1.27780592930046,0.201317863238037,0.70295551151899
"ENSG00000002330.14",88.1982384443852,0.0115519237034626,0.0826415886823968,0.139783417618679,0.888831115474773,0.974456767190437
"ENSG00000002549.13",203.9763161843,-0.0580006880705515,0.104473890680541,-0.555169216851563,0.578778922305078,0.879903811460908
"ENSG00000002586.20",117.0479985949,0.112223166193775,0.163097675437704,0.688073363967957,0.491406583006933,0.847013068606834
"ENSG00000002587.10",314.628418730214,0.479734261225685,0.156624548281892,3.06295702996865,0.00219161527622289,0.315240598303152
"ENSG00000002726.21",0.516112505398228,0.229830718263154,0.587441760477593,0.391240006628574,0.695619839283816,NA
"ENSG00000002745.13",13.2890504541722,-0.298052856436072,0.197997411032638,-1.50533713992321,0.13223742123763,0.654757896820721
"ENSG00000002746.15",1139.66878653497,-0.125153405592068,0.0987663431111093,-1.26716654327551,0.205095745992914,0.704919895878505
"ENSG00000002822.16",23.935920705524,0.215493203289332,0.153832563362121,1.40082956806786,0.161265044447328,0.677478198428532
"ENSG00000002834.19",615.691506542944,-0.0355711016813216,0.0613879907683315,-0.579447237743311,0.562287438231775,0.873146446515489
"ENSG00000002919.15",57.7222539718126,-0.148496123453121,0.0801305180491678,-1.85317812823828,0.0638568314981777,0.597509334141002
"ENSG00000002933.9",21.4534116339884,0.111411914685175,0.157555182806546,0.70712948124323,0.479486016641098,0.843395509817041
"ENSG00000003056.8",355.505706757195,-0.120580254656389,0.066716332503792,-1.80735736110098,0.0707065776480306,0.606385508930377
"ENSG00000003096.15",62.3761577184995,0.11117990491034,0.0915954981847791,1.21381407507662,0.224818730302953,0.716750342401249
"ENSG00000003137.9",214.55963565081,-0.153703859490944,0.138668604491134,-1.10842580449255,0.267677965747702,0.741184765376675
"ENSG00000003147.19",431.203515003568,-0.0139931399258545,0.104375385467883,-0.134065516147581,0.89335076755829,0.975595979844114
